domain,resource,action,method,path_official,path_local,status,param_gaps,body_diff,pagination,auth,headers_needed,error_model,stability,deprecation,notes
QueueItems,odata,UiPathODataSvc.GetItemProcessingHistory,GET,odata/QueueItems({key})/UiPathODataSvc.GetItemProcessingHistory,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.SetTransactionProgress,POST,odata/QueueItems({key})/UiPathODataSvc.SetTransactionProgress,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPath.Server.Configuration.OData.GetReviewers,GET,odata/QueueItems/UiPath.Server.Configuration.OData.GetReviewers,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.DeleteBulk,POST,odata/QueueItems/UiPathODataSvc.DeleteBulk,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.GetItemLastRetryByKey(key={key}),GET,odata/QueueItems/UiPathODataSvc.GetItemLastRetryByKey(key={key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.SetItemReviewer,POST,odata/QueueItems/UiPathODataSvc.SetItemReviewer,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.SetItemReviewStatus,POST,odata/QueueItems/UiPathODataSvc.SetItemReviewStatus,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueItems,odata,UiPathODataSvc.UnsetItemReviewer,POST,odata/QueueItems/UiPathODataSvc.UnsetItemReviewer,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueProcessingRecords,odata,"UiPathODataSvc.RetrieveLastDaysProcessingRecords(daysNo={daysNo},queueDefinitionId={queueDefinitionId})",GET,"odata/QueueProcessingRecords/UiPathODataSvc.RetrieveLastDaysProcessingRecords(daysNo={daysNo},queueDefinitionId={queueDefinitionId})",,Missing,daysNo;queueDefinitionId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueProcessingRecords,odata,UiPathODataSvc.RetrieveQueuesProcessingStatus,GET,odata/QueueProcessingRecords/UiPathODataSvc.RetrieveQueuesProcessingStatus,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueRetention,odata,QueueRetention,GET,odata/QueueRetention,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueRetention,odata,QueueRetention({key}),GET,odata/QueueRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueRetention,odata,QueueRetention({key}),PUT,odata/QueueRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
QueueRetention,odata,QueueRetention({key}),DELETE,odata/QueueRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Queues,odata,UiPathODataSvc.SetTransactionResult,POST,odata/Queues({key})/UiPathODataSvc.SetTransactionResult,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Queues,odata,UiPathODataSvc.AddQueueItem,POST,odata/Queues/UiPathODataSvc.AddQueueItem,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Queues,odata,UiPathODataSvc.BulkAddQueueItems,POST,odata/Queues/UiPathODataSvc.BulkAddQueueItems,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Queues,odata,UiPathODataSvc.StartTransaction,POST,odata/Queues/UiPathODataSvc.StartTransaction,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
ReleaseRetention,odata,ReleaseRetention,GET,odata/ReleaseRetention,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
ReleaseRetention,odata,ReleaseRetention({key}),GET,odata/ReleaseRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
ReleaseRetention,odata,ReleaseRetention({key}),PUT,odata/ReleaseRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
ReleaseRetention,odata,ReleaseRetention({key}),DELETE,odata/ReleaseRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases,GET,odata/Releases,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases,POST,odata/Releases,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases({key}),GET,odata/Releases({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases({key}),PATCH,odata/Releases({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases({key}),PUT,odata/Releases({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,Releases({key}),DELETE,odata/Releases({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.RollbackToPreviousReleaseVersion,POST,odata/Releases({key})/UiPath.Server.Configuration.OData.RollbackToPreviousReleaseVersion,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToLatestPackageVersion,POST,odata/Releases({key})/UiPath.Server.Configuration.OData.UpdateToLatestPackageVersion,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToSpecificPackageVersion,POST,odata/Releases({key})/UiPath.Server.Configuration.OData.UpdateToSpecificPackageVersion,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.RollbackToPreviousReleaseVersionByKey(identifier={identifier}),POST,odata/Releases/UiPath.Server.Configuration.OData.RollbackToPreviousReleaseVersionByKey(identifier={identifier}),,Missing,identifier,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateByKey,POST,odata/Releases/UiPath.Server.Configuration.OData.UpdateByKey,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionBulk,POST,odata/Releases/UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionBulk,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionBulkByKey,POST,odata/Releases/UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionBulkByKey,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionByKey(identifier={identifier}),POST,odata/Releases/UiPath.Server.Configuration.OData.UpdateToLatestPackageVersionByKey(identifier={identifier}),,Missing,identifier,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Releases,odata,UiPath.Server.Configuration.OData.UpdateToSpecificPackageVersionByKey(identifier={identifier}),POST,odata/Releases/UiPath.Server.Configuration.OData.UpdateToSpecificPackageVersionByKey(identifier={identifier}),,Missing,identifier,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
RobotLogs,odata,RobotLogs,GET,odata/RobotLogs,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
RobotLogs,odata,UiPath.Server.Configuration.OData.Export,POST,odata/RobotLogs/UiPath.Server.Configuration.OData.Export,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
RobotLogs,odata,UiPath.Server.Configuration.OData.GetTotalCount,GET,odata/RobotLogs/UiPath.Server.Configuration.OData.GetTotalCount,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots,GET,odata/Robots,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots,POST,odata/Robots,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots({key}),GET,odata/Robots({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots({key}),PUT,odata/Robots({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots({key}),PATCH,odata/Robots({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,Robots({key}),DELETE,odata/Robots({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.ConvertToFloating,POST,odata/Robots/UiPath.Server.Configuration.OData.ConvertToFloating,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.DeleteBulk,POST,odata/Robots/UiPath.Server.Configuration.OData.DeleteBulk,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.FindAllAcrossFolders,GET,odata/Robots/UiPath.Server.Configuration.OData.FindAllAcrossFolders,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.GetConfiguredRobots,GET,odata/Robots/UiPath.Server.Configuration.OData.GetConfiguredRobots,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,"UiPath.Server.Configuration.OData.GetFolderRobots(folderId={folderId},machineId={machineId})",GET,"odata/Robots/UiPath.Server.Configuration.OData.GetFolderRobots(folderId={folderId},machineId={machineId})",,Missing,folderId;machineId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.GetMachineNameToLicenseKeyMappings,GET,odata/Robots/UiPath.Server.Configuration.OData.GetMachineNameToLicenseKeyMappings,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.GetRobotsForProcess(processId='{processId}'),GET,odata/Robots/UiPath.Server.Configuration.OData.GetRobotsForProcess(processId='{processId}'),,Missing,processId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.GetRobotsFromFolder(folderId={folderId}),GET,odata/Robots/UiPath.Server.Configuration.OData.GetRobotsFromFolder(folderId={folderId}),,Missing,folderId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.GetUsernames,GET,odata/Robots/UiPath.Server.Configuration.OData.GetUsernames,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Robots,odata,UiPath.Server.Configuration.OData.ToggleEnabledStatus,POST,odata/Robots/UiPath.Server.Configuration.OData.ToggleEnabledStatus,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Roles,odata,Roles,GET,odata/Roles,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,Roles,POST,odata/Roles,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,Roles({key}),GET,odata/Roles({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,Roles({key}),PUT,odata/Roles({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,Roles({key}),DELETE,odata/Roles({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,UiPath.Server.Configuration.OData.SetUsers,POST,odata/Roles({key})/UiPath.Server.Configuration.OData.SetUsers,,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,UiPath.Server.Configuration.OData.GetUserIdsForRole(key={key}),GET,odata/Roles/UiPath.Server.Configuration.OData.GetUserIdsForRole(key={key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Roles,odata,UiPath.Server.Configuration.OData.GetUsersForRole(key={key}),GET,odata/Roles/UiPath.Server.Configuration.OData.GetUsersForRole(key={key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,Sessions,GET,odata/Sessions,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.ToggleMachineSessionDebugMode,POST,odata/Sessions({key})/UiPath.Server.Configuration.OData.ToggleMachineSessionDebugMode,,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.DeleteInactiveUnattendedSessions,POST,odata/Sessions/UiPath.Server.Configuration.OData.DeleteInactiveUnattendedSessions,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.GetGlobalSessions,GET,odata/Sessions/UiPath.Server.Configuration.OData.GetGlobalSessions,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.GetMachineSessionRuntimes,GET,odata/Sessions/UiPath.Server.Configuration.OData.GetMachineSessionRuntimes,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.GetMachineSessionRuntimesByFolderId(folderId={folderId}),GET,odata/Sessions/UiPath.Server.Configuration.OData.GetMachineSessionRuntimesByFolderId(folderId={folderId}),,Missing,folderId,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.GetMachineSessions(key={key}),GET,odata/Sessions/UiPath.Server.Configuration.OData.GetMachineSessions(key={key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.GetUsernames,GET,odata/Sessions/UiPath.Server.Configuration.OData.GetUsernames,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Sessions,odata,UiPath.Server.Configuration.OData.SetMaintenanceMode,POST,odata/Sessions/UiPath.Server.Configuration.OData.SetMaintenanceMode,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,Settings,GET,odata/Settings,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,Settings('{key}'),GET,odata/Settings('{key}'),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,Settings('{key}'),PUT,odata/Settings('{key}'),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.DeleteBulk,POST,odata/Settings/UiPath.Server.Configuration.OData.DeleteBulk,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetActivitySettings,GET,odata/Settings/UiPath.Server.Configuration.OData.GetActivitySettings,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetAuthenticationSettings,GET,odata/Settings/UiPath.Server.Configuration.OData.GetAuthenticationSettings,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetCalendar,GET,odata/Settings/UiPath.Server.Configuration.OData.GetCalendar,,Missing,,,,OAuth2 bearer,,unknown,official,True,
Settings,odata,UiPath.Server.Configuration.OData.GetExecutionSettingsConfiguration(scope={scope}),GET,odata/Settings/UiPath.Server.Configuration.OData.GetExecutionSettingsConfiguration(scope={scope}),,Missing,scope,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetLanguages,GET,odata/Settings/UiPath.Server.Configuration.OData.GetLanguages,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetLicense,GET,odata/Settings/UiPath.Server.Configuration.OData.GetLicense,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetSecureStoreConfiguration(storeTypeName='{storeTypeName}'),GET,odata/Settings/UiPath.Server.Configuration.OData.GetSecureStoreConfiguration(storeTypeName='{storeTypeName}'),,Missing,storeTypeName,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetTimezones,GET,odata/Settings/UiPath.Server.Configuration.OData.GetTimezones,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetUpdateSettings,GET,odata/Settings/UiPath.Server.Configuration.OData.GetUpdateSettings,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.GetWebSettings,GET,odata/Settings/UiPath.Server.Configuration.OData.GetWebSettings,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.SetCalendar,POST,odata/Settings/UiPath.Server.Configuration.OData.SetCalendar,,Missing,,,,OAuth2 bearer,,unknown,official,True,
Settings,odata,UiPath.Server.Configuration.OData.UpdateBulk,POST,odata/Settings/UiPath.Server.Configuration.OData.UpdateBulk,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.UpdateUserSetting,POST,odata/Settings/UiPath.Server.Configuration.OData.UpdateUserSetting,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Settings,odata,UiPath.Server.Configuration.OData.VerifySmtpSetting,POST,odata/Settings/UiPath.Server.Configuration.OData.VerifySmtpSetting,,Missing,,,,OAuth2 bearer,,unknown,official,False,
TaskActivities,odata,UiPath.Server.Configuration.OData.GetByTaskId(taskId={taskId}),GET,odata/TaskActivities/UiPath.Server.Configuration.OData.GetByTaskId(taskId={taskId}),,Missing,taskId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,TaskCatalogs,GET,odata/TaskCatalogs,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,TaskCatalogs({key}),GET,odata/TaskCatalogs({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,TaskCatalogs({key}),DELETE,odata/TaskCatalogs({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.UpdateTaskCatalog,POST,odata/TaskCatalogs({key})/UiPath.Server.Configuration.OData.UpdateTaskCatalog,,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.CreateTaskCatalog,POST,odata/TaskCatalogs/UiPath.Server.Configuration.OData.CreateTaskCatalog,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.GetFoldersForTaskCatalog(id={id}),GET,odata/TaskCatalogs/UiPath.Server.Configuration.OData.GetFoldersForTaskCatalog(id={id}),,Missing,id,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.GetTaskCatalogExtendedDetails(taskCatalogId={taskCatalogId}),GET,odata/TaskCatalogs/UiPath.Server.Configuration.OData.GetTaskCatalogExtendedDetails(taskCatalogId={taskCatalogId}),,Missing,taskCatalogId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.GetTaskCatalogsFromFoldersWithPermissions,GET,odata/TaskCatalogs/UiPath.Server.Configuration.OData.GetTaskCatalogsFromFoldersWithPermissions,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskCatalogs,odata,UiPath.Server.Configuration.OData.ShareToFolders,POST,odata/TaskCatalogs/UiPath.Server.Configuration.OData.ShareToFolders,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskDefinitions,odata,TaskDefinitions,GET,odata/TaskDefinitions,,Missing,,,,OAuth2 bearer,,unknown,official,False,
TaskDefinitions,odata,TaskDefinitions({key}),GET,odata/TaskDefinitions({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
TaskDefinitions,odata,TaskDefinitions({key}),DELETE,odata/TaskDefinitions({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
TaskDefinitions,odata,UiPath.Server.Configuration.OData.UpdateTaskDefinition,POST,odata/TaskDefinitions({key})/UiPath.Server.Configuration.OData.UpdateTaskDefinition,,Missing,key,,,OAuth2 bearer,,unknown,official,False,
TaskDefinitions,odata,UiPath.Server.Configuration.OData.CreateTaskDefinition,POST,odata/TaskDefinitions/UiPath.Server.Configuration.OData.CreateTaskDefinition,,Missing,,,,OAuth2 bearer,,unknown,official,False,
TaskDefinitions,odata,UiPath.Server.Configuration.OData.GetTaskDefinitionVersions(id={id}),GET,odata/TaskDefinitions/UiPath.Server.Configuration.OData.GetTaskDefinitionVersions(id={id}),,Missing,id,,,OAuth2 bearer,,unknown,official,False,
TaskNotes,odata,UiPath.Server.Configuration.OData.CreateTaskNote,POST,odata/TaskNotes/UiPath.Server.Configuration.OData.CreateTaskNote,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskNotes,odata,UiPath.Server.Configuration.OData.GetByTaskId(taskId={taskId}),GET,odata/TaskNotes/UiPath.Server.Configuration.OData.GetByTaskId(taskId={taskId}),,Missing,taskId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskRetention,odata,TaskRetention,GET,odata/TaskRetention,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskRetention,odata,TaskRetention({key}),GET,odata/TaskRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskRetention,odata,TaskRetention({key}),PUT,odata/TaskRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TaskRetention,odata,TaskRetention({key}),DELETE,odata/TaskRetention({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,Tasks,GET,odata/Tasks,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,Tasks({key}),GET,odata/Tasks({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.AssignTasks,POST,odata/Tasks/UiPath.Server.Configuration.OData.AssignTasks,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.DeleteTasks,POST,odata/Tasks/UiPath.Server.Configuration.OData.DeleteTasks,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.EditTaskMetadata,POST,odata/Tasks/UiPath.Server.Configuration.OData.EditTaskMetadata,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.GetByKey(identifier={identifier}),GET,odata/Tasks/UiPath.Server.Configuration.OData.GetByKey(identifier={identifier}),,Missing,identifier,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.GetTaskPermissions,GET,odata/Tasks/UiPath.Server.Configuration.OData.GetTaskPermissions,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.GetTasksAcrossFolders,GET,odata/Tasks/UiPath.Server.Configuration.OData.GetTasksAcrossFolders,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.GetTasksAcrossFoldersForAdmin,GET,odata/Tasks/UiPath.Server.Configuration.OData.GetTasksAcrossFoldersForAdmin,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.GetTaskUsers(organizationUnitId={organizationUnitId}),GET,odata/Tasks/UiPath.Server.Configuration.OData.GetTaskUsers(organizationUnitId={organizationUnitId}),,Missing,organizationUnitId,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.ReassignTasks,POST,odata/Tasks/UiPath.Server.Configuration.OData.ReassignTasks,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tasks,odata,UiPath.Server.Configuration.OData.UnassignTasks,POST,odata/Tasks/UiPath.Server.Configuration.OData.UnassignTasks,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
Tenants,odata,Tenants,GET,odata/Tenants,,Missing,,,,OAuth2 bearer,,unknown,official,False,
Tenants,odata,Tenants({key}),GET,odata/Tenants({key}),,Missing,key,,,OAuth2 bearer,,unknown,official,False,
TestCaseDefinitions,odata,TestCaseDefinitions,GET,odata/TestCaseDefinitions,,Missing,,,,OAuth2 bearer,,unknown,official,False,
TestCaseExecutions,odata,TestCaseExecutions,GET,odata/TestCaseExecutions,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestCaseExecutions,odata,TestCaseExecutions({key}),GET,odata/TestCaseExecutions({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueueItems,odata,TestDataQueueItems,GET,odata/TestDataQueueItems,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueueItems,odata,TestDataQueueItems({key}),GET,odata/TestDataQueueItems({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueues,odata,TestDataQueues,GET,odata/TestDataQueues,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueues,odata,TestDataQueues,POST,odata/TestDataQueues,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueues,odata,TestDataQueues({key}),GET,odata/TestDataQueues({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueues,odata,TestDataQueues({key}),PUT,odata/TestDataQueues({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestDataQueues,odata,TestDataQueues({key}),DELETE,odata/TestDataQueues({key}),,Missing,key,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
TestSetExecutions,odata,TestSetExecutions,GET,odata/TestSetExecutions,,Missing,,,,OAuth2 bearer,X-UIPATH-OrganizationUnitId,unknown,official,False,
